Year,State,Museums
2016,Tlaxcala,0
2016,Aguascalientes,1
2016,Baja California,3
2016,Baja California Sur,1
2016,Coahuila,2
2016,Colima,1
2016,Chiapas,2
2016,Chihuahua,2
2016,Ciudad de México,12
2016,Durango,0
2016,Guanajuato,4
2016,Guerrero,2
2016,Hidalgo,1
2016,Jalisco,2
2016,México,6
2016,Michoacán,2
2016,Morelos,0
2016,Nayarit,1
2016,Nuevo León,2
2016,Oaxaca,2
2016,Puebla,3
2016,Querétaro,0
2016,Quintana Roo,1
2016,San Luis Potosí,1
2016,Sinaloa,3
2016,Sonora,2
2016,Tabasco,3
2016,Tamaulipas,2
2016,Veracruz,1
2016,Yucatán,3
2016,Zacatecas,2
2016,Campeche,1
2017,Tlaxcala,0
2017,Aguascalientes,1
2017,Baja California,3
2017,Baja California Sur,1
2017,Coahuila,2
2017,Colima,1
2017,Chiapas,2
2017,Chihuahua,2
2017,Ciudad de México,12
2017,Durango,0
2017,Guanajuato,5
2017,Guerrero,2
2017,Hidalgo,0
2017,Jalisco,2
2017,México,6
2017,Michoacán,2
2017,Morelos,1
2017,Nayarit,1
2017,Nuevo León,3
2017,Oaxaca,1
2017,Puebla,4
2017,Querétaro,0
2017,Quintana Roo,1
2017,San Luis Potosí,2
2017,Sinaloa,3
2017,Sonora,2
2017,Tabasco,2
2017,Tamaulipas,1
2017,Veracruz,1
2017,Yucatán,3
2017,Zacatecas,2
2017,Campeche,1
2018,Tlaxcala,0
2018,Aguascalientes,1
2018,Baja California,3
2018,Baja California Sur,1
2018,Coahuila,3
2018,Colima,1
2018,Chiapas,2
2018,Chihuahua,1
2018,Ciudad de México,11
2018,Durango,0
2018,Guanajuato,3
2018,Guerrero,2
2018,Hidalgo,1
2018,Jalisco,2
2018,México,6
2018,Michoacán,2
2018,Morelos,0
2018,Nayarit,1
2018,Nuevo León,3
2018,Oaxaca,1
2018,Puebla,3
2018,Querétaro,2
2018,Quintana Roo,1
2018,San Luis Potosí,3
2018,Sinaloa,2
2018,Sonora,2
2018,Tabasco,2
2018,Tamaulipas,2
2018,Veracruz,0
2018,Yucatán,2
2018,Zacatecas,2
2018,Campeche,0
2019,Tlaxcala,0
2019,Aguascalientes,1
2019,Baja California,4
2019,Baja California Sur,0
2019,Coahuila,3
2019,Colima,1
2019,Chiapas,3
2019,Chihuahua,3
2019,Ciudad de México,13
2019,Durango,2
2019,Guanajuato,4
2019,Guerrero,2
2019,Hidalgo,1
2019,Jalisco,1
2019,México,6
2019,Michoacán,2
2019,Morelos,3
2019,Nayarit,1
2019,Nuevo León,3
2019,Oaxaca,1
2019,Puebla,2
2019,Querétaro,1
2019,Quintana Roo,2
2019,San Luis Potosí,3
2019,Sinaloa,2
2019,Sonora,2
2019,Tabasco,2
2019,Tamaulipas,0
2019,Veracruz,0
2019,Yucatán,2
2019,Zacatecas,3
2019,Campeche,0
2020,Tlaxcala,0
2020,Aguascalientes,0
2020,Baja California,4
2020,Baja California Sur,0
2020,Coahuila,3
2020,Colima,1
2020,Chiapas,3
2020,Chihuahua,3
2020,Ciudad de México,9
2020,Durango,2
2020,Guanajuato,6
2020,Guerrero,2
2020,Hidalgo,1
2020,Jalisco,1
2020,México,3
2020,Michoacán,0
2020,Morelos,2
2020,Nayarit,1
2020,Nuevo León,0
2020,Oaxaca,0
2020,Puebla,2
2020,Querétaro,1
2020,Quintana Roo,1
2020,San Luis Potosí,2
2020,Sinaloa,2
2020,Sonora,2
2020,Tabasco,2
2020,Tamaulipas,0
2020,Veracruz,0
2020,Yucatán,3
2020,Zacatecas,3
2020,Campeche,0
2021,Aguascalientes,1
2021,Baja California,4
2021,Baja California Sur,0
2021,Coahuila,3
2021,Colima,1
2021,Chiapas,3
2021,Chihuahua,3
2021,Ciudad de México,12
2021,Durango,2
2021,Guanajuato,6
2021,Guerrero,1
2021,Hidalgo,1
2021,Jalisco,1
2021,México,3
2021,Michoacán,2
2021,Morelos,2
2021,Nayarit,1
2021,Nuevo León,0
2021,Oaxaca,0
2021,Puebla,0
2021,Querétaro,1
2021,Quintana Roo,1
2021,San Luis Potosí,2
2021,Sinaloa,2
2021,Sonora,2
2021,Tabasco,2
2021,Tamaulipas,0
2021,Veracruz,0
2021,Yucatán,3
2021,Zacatecas,2
2021,Campeche,0
2021,Tlaxcala,0
